[2025-12-03 00:14:23.347] [DEBUG] Raw samples: [69.8, 61.97, 44.36, 62.22, 69.76, 65.34, 66.6], valid_samples: 7
[2025-12-03 00:14:23.348] [INFO] Measured height: 141.14 cm
[2025-12-03 00:14:25.026] [DEBUG] Raw samples: [92.4], valid_samples: 1
[2025-12-03 00:14:25.027] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:26.713] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:26.713] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:28.400] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:28.401] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:30.088] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:30.088] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:31.775] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:31.775] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:33.462] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:33.463] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:35.148] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:35.148] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:36.830] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:36.830] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:38.511] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:38.511] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:40.196] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:40.196] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:41.883] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:41.883] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:43.570] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:43.570] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:45.257] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:45.258] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:46.945] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:14:46.945] [WARNING] No valid height measurement obtained
[2025-12-03 00:14:48.631] [DEBUG] Raw samples: [], valid_samples: 0
